BookA finding cost at stack: 26, at queue: 1
BookB finding cost at stack: 1, at queue: 1
BookC finding cost at stack: 1, at queue: 1
BookD finding cost at stack: 1, at queue: 1
BookE finding cost at stack: 1, at queue: 1
BookF finding cost at stack: 1, at queue: 1
BookG finding cost at stack: 1, at queue: 1
BookH finding cost at stack: 1, at queue: 1
BookI finding cost at stack: 1, at queue: 1
BookJ finding cost at stack: 1, at queue: 1
BookK finding cost at stack: 1, at queue: 1
BookL finding cost at stack: 1, at queue: 1
BookM finding cost at stack: 1, at queue: 1
BookN finding cost at stack: 1, at queue: 1
BookO finding cost at stack: 1, at queue: 1
BookP finding cost at stack: 1, at queue: 1
BookQ finding cost at stack: 1, at queue: 1
BookR finding cost at stack: 1, at queue: 1
BookS finding cost at stack: 1, at queue: 1
BookT finding cost at stack: 1, at queue: 1
BookU finding cost at stack: 1, at queue: 1
BookV finding cost at stack: 1, at queue: 1
BookW finding cost at stack: 1, at queue: 1
BookX finding cost at stack: 1, at queue: 1
BookY finding cost at stack: 1, at queue: 1
BookZ finding cost at stack: 1, at queue: 1
