 BookAfinding cost at stack: 26, at queue: 1
 BookBfinding cost at stack: 1, at queue: 1
 BookCfinding cost at stack: 1, at queue: 1
 BookDfinding cost at stack: 1, at queue: 1
 BookEfinding cost at stack: 1, at queue: 1
 BookFfinding cost at stack: 1, at queue: 1
 BookGfinding cost at stack: 1, at queue: 1
 BookHfinding cost at stack: 1, at queue: 1
 BookIfinding cost at stack: 1, at queue: 1
 BookJfinding cost at stack: 1, at queue: 1
 BookKfinding cost at stack: 1, at queue: 1
 BookLfinding cost at stack: 1, at queue: 1
 BookMfinding cost at stack: 1, at queue: 1
 BookNfinding cost at stack: 1, at queue: 1
 BookOfinding cost at stack: 1, at queue: 1
 BookPfinding cost at stack: 1, at queue: 1
 BookQfinding cost at stack: 1, at queue: 1
 BookRfinding cost at stack: 1, at queue: 1
 BookSfinding cost at stack: 1, at queue: 1
 BookTfinding cost at stack: 1, at queue: 1
 BookUfinding cost at stack: 1, at queue: 1
 BookVfinding cost at stack: 1, at queue: 1
 BookWfinding cost at stack: 1, at queue: 1
 BookXfinding cost at stack: 1, at queue: 1
 BookYfinding cost at stack: 1, at queue: 1
 BookZfinding cost at stack: 1, at queue: 1
